Parcours (ID);Parcours (libellé court);Ligne (ID);Ligne (nom court);Point d'arrêt (ID);Point d'arrêt (nom);Ordre;Montée autorisée;Descente autorisée;
0031-A-2088-1190;;31;31;2055;Cesson Piscine;6;true;true;5
0067-A-2089-1556;;67;67;1527;Moulin de Joué;11;true;true;95
0453-A-4381-4705;;453;Ts53;4748;Montheleu;20;true;true;247
0054-B-4652-1567;;54;54;2504;L'Autre Lieu;6;true;true;449
0055-A-1567-4408;;55;55;1221;Géniaux;6;true;true;243
0031-A-2088-1190;;31;31;2013;Vilaine;8;true;true;234
0067-A-2089-1556;;67;67;1526;Hôpital Régnier;12;true;true;309
0454-A-4364-3246;;454;Ts54;4364;Douazel;1;true;true;148
0054-B-4652-1567;;54;54;2507;Barberais;9;true;true;471
0055-A-1567-4408;;55;55;3861;Croix Ignon;15;true;true;54
0031-A-2088-1190;;31;31;2014;Sports et Nature;9;true;true;371
0067-A-2089-1556;;67;67;1163;Robidou;14;true;true;339
0454-A-4364-3246;;454;Ts54;4360;Leuzières;3;true;true;324
0054-B-4652-1567;;54;54;1233;Lemaistre;15;true;true;485
0055-A-1567-4408;;55;55;3862;Gretay;16;true;true;419
0031-A-2088-1190;;31;31;1175;Beaulieu Chimie;13;true;true;84
0067-A-4151-1556;;67;67;4154;Provence;4;true;true;101
0454-A-4364-3246;;454;Ts54;4355;Champ Mulon;8;true;true;129
0055-A-1567-3851;;55;55;3863;Mordelles Lilas;17;true;true;447
0055-B-3851-1567;;55;55;3855;Gretay;5;true;true;91
0031-A-2088-1190;;31;31;1204;Beaulieu INSA;14;true;true;490
0067-A-4151-1556;;67;67;1556;République;8;true;true;316
0454-A-4364-3246;;454;Ts54;3249;Orgerblon;10;true;true;327
0055-A-1567-4201;;55;55;1506;Berthault;8;true;true;280
0055-B-3851-1567;;55;55;3856;Croix Ignon;6;true;true;66
0031-A-2088-1190;;31;31;1177;Beaulieu Restau U;15;true;true;369
0067-A-4151-1556-2057;;67;67;4151;Anjou;1;true;true;204
0454-A-4364-3246;;454;Ts54;3216;Plardière;11;true;true;19
0055-A-1567-4201;;55;55;3859;Vivier des Bois;13;true;true;474
0055-B-3851-1567;;55;55;1235;Géniaux;15;true;true;192
0031-A-2088-1190;;31;31;1182;George Sand;21;true;true;365
0067-A-4151-1556-2057;;67;67;4156;Pâtis;6;true;true;355
0454-A-4364-3246;;454;Ts54;3246;Collège Récipon;12;true;true;173
0055-A-1567-4408;;55;55;4403;Bouvrais;21;true;true;68
0055-B-3851-1567;;55;55;1088;Liberté TNB;20;true;true;123
0031-A-2088-1190;;31;31;1187;Maison Diocésaine;31;true;true;201
0067-A-4151-1556-2057;;67;67;2038;Haut Grippé;9;true;true;181
0454-B-3246-4367;;454;Ts54;3246;Collège Récipon;1;true;true;386
0055-B-3851-1567;;55;55;3858;Vivier des Bois;8;true;true;321
0055-B-4201-1567;;55;55;4204;Avenir;4;true;true;138
0031-A-2088-1190;;31;31;1192;La Salle;32;true;true;438
0067-A-4151-1556-2057;;67;67;2016;Taillis;15;true;true;229
0454-B-3246-4367;;454;Ts54;4362;Alexandre Gilois;7;true;true;344
0055-B-3851-1567;;55;55;2509;Pont d'Avoine;11;true;true;189
0055-B-4201-1567;;55;55;4205;Grippay;5;true;true;435
0031-B-1190-2088;;31;31;1188;La Salle;3;true;true;452
0067-A-4151-1556-2057;;67;67;2017;Champs Péans;16;true;true;225
0455-A-4764-4718;;455;Ts55;4750;Rouesnais Sud;4;true;true;393
0055-B-3851-1567;;55;55;3752;Trois Marches;12;true;true;376
0055-B-4201-1567;;55;55;3851;Mordelles Pâtis;6;true;true;66
0031-B-1190-2088;;31;31;1195;Legraverend;8;true;true;367
0067-A-4151-1556-2057;;67;67;1528;Piletière;18;true;true;454
0455-A-4764-4718;;455;Ts55;4728;La Feutelais;8;true;true;24
0055-B-3851-1567;;55;55;1233;Lemaistre;14;true;true;38
0055-B-4201-1567;;55;55;3856;Croix Ignon;11;true;true;441
0031-B-1190-2088;;31;31;1196;Dinan;9;true;true;68
0067-A-4151-1556-2089;;67;67;4155;Destiers;5;true;true;350
0457-B-4759-4764;;457;Ts57;4709;Bout de Lande;7;true;true;41
0055-B-3851-1567;;55;55;1239;Chèques Postaux;17;true;true;213
0055-B-4201-1567;;55;55;2521;Gerhoui;14;true;true;422
0031-B-1190-2088;;31;31;1027;Hôtel Dieu;10;true;true;379
0067-A-4151-1556-2089;;67;67;4162;Turbanière;7;true;true;405
0461-A-2051-2119;;461;Ts61;2051;Chalotais;1;true;true;118
0055-B-4201-1567;;55;55;3853;Mordelles Mairie;8;true;true;181
0055-B-4201-1567;;55;55;1508;Berthault;18;true;true;472
0031-B-1190-2088;;31;31;1151;Vitré Danton;15;true;true;383
0067-A-4151-1556-2089;;67;67;1528;Piletière;19;true;true;135
0461-B-2120-2067;;461;Ts61;2158;Salmondière;2;true;true;136
0055-B-4201-1567;;55;55;3855;Gretay;10;true;true;21
0055-B-4201-1567;;55;55;1242;République;24;true;true;377
0031-B-1190-2088;;31;31;1203;Beaulieu Restau U;17;true;true;163
0067-B-1556-2089;;67;67;1172;Robidou;4;true;true;103
0461-B-2120-2067;;461;Ts61;2110;Touche sur Roche;3;true;true;140
0055-B-4201-1567;;55;55;1235;Géniaux;20;true;true;405
0055-B-4401-1567;;55;55;4402;Bouvrais;2;true;true;31
0031-B-1190-2088;;31;31;2066;Cesson Mairie;25;true;true;303
0067-B-1556-2089;;67;67;1524;Hôpital Régnier;6;true;true;54
0466-B-2534-3736;;466;Ts66;4259;Cherterie;7;true;true;265
0055-B-4201-1567;;55;55;1542;Pont de Bretagne;23;true;true;480
0055-B-4401-1567;;55;55;1567;Charles de Gaulle;23;true;true;26
0031-B-1190-2088;;31;31;2068;Métairies Chalotais;27;true;true;27
0067-B-1556-2089;;67;67;2020;Taillis;11;true;true;190
0466-B-2534-3736-2519;;466;Ts66;4323;Verdais;5;true;true;429
0055-B-4401-1567;;55;55;3851;Mordelles Pâtis;3;true;true;174
0056-A-1595-4201;;56;56;1214;République;2;true;true;400
0032-A-9217-1465;;32;32;1312;Beaulieu Chimie;4;true;true;104
0067-B-1556-4151;;67;67;4151;Anjou;9;true;true;442
0467-A-3728-2534;;467;Ts67;2534;Collège Brassens;14;true;true;439
0055-B-4401-1567;;55;55;3854;Mordelles Lilas;6;true;true;133
0056-A-1595-4201;;56;56;3766;Trois Marches;9;true;true;481
0032-A-9217-1465;;32;32;1609;Tournebride;5;true;true;244
0067-B-1556-4151-2065;;67;67;1522;Piletière;8;true;true;241
0467-B-2534-3728;;467;Ts67;2519;Lycée Monod;2;true;true;290
0055-B-4401-1567;;55;55;3857;Grande Fontaine;9;true;true;25
0056-A-1595-4201;;56;56;2530;Haut Plessis;13;true;true;402
0032-A-9217-1465;;32;32;1528;Piletière;6;true;true;227
0067-B-1556-4151-2065;;67;67;2065;Cesson Gare;15;true;true;179
0467-B-2534-3728;;467;Ts67;3729;Résidence Janais;7;true;true;377
0055-B-4401-1567;;55;55;3752;Trois Marches;14;true;true;320
0056-A-1595-4201;;56;56;4208;Grippay;15;true;true;50
0032-A-9217-1465;;32;32;1527;Moulin de Joué;7;true;true;381
0067-B-1556-4151-2065;;67;67;2086;Bordage;16;true;true;225
0467-B-2534-3728;;467;Ts67;3734;Ardriers;12;true;true;177
0055-B-4401-1567;;55;55;1235;Géniaux;17;true;true;57
0056-B-4201-1595;;56;56;4201;Croix Blanche;1;true;true;377
0032-A-9217-1465;;32;32;1474;Durafour Strasbourg;9;true;true;18
0067-B-1556-4151-2065;;67;67;4159;Provence;21;true;true;278
0467-B-2534-3728;;467;Ts67;3737;Etang de la Motte;13;true;true;230
0055-B-4401-1567;;55;55;1238;Guilloux Lorient;18;true;true;198
0056-B-4201-1595;;56;56;4205;Grippay;5;true;true;422
0032-A-9217-1465;;32;32;1561;Langevin;16;true;true;366
0067-B-1556-4151-2106;;67;67;1433;Durafour Strasbourg;5;true;true;223
0471-B-6021-6011;;471;Ts71;4906;Le Rhé;5;true;true;395
0055-B-4401-1567;;55;55;1239;Chèques Postaux;19;true;true;97
0056-B-4201-1595;;56;56;2526;Moigné;8;true;true;293
0032-A-9217-1465;;32;32;1465;Triangle;19;true;true;189
0067-B-1556-4151-2106;;67;67;1522;Piletière;8;true;true;335
0471-B-6021-6011;;471;Ts71;6011;Romillé Pigeon Blanc;7;true;true;197
0055-B-4401-1567;;55;55;1088;Liberté TNB;22;true;true;52
0056-B-4201-1595;;56;56;2522;Mahomat;9;true;true;347
0032-B-1441-9218;;32;32;1361;Langevin;4;true;true;490
0067-B-1556-4151-2106;;67;67;2062;Rond Point de Bray;12;true;true;304
0475-A-4850-2841;;475;Ts75;4502;Gévezé Mairie;5;true;true;48
0056-A-1595-4201;;56;56;1217;Chèques Postaux;4;true;true;443
0056-B-4201-1595;;56;56;3752;Trois Marches;11;true;true;85
0032-B-1441-9218;;32;32;1439;Bourgeois;5;true;true;229
0067-B-1556-4151-2106;;67;67;2065;Cesson Gare;15;true;true;405
0475-B-2834-4851;;475;Ts75;2834;Jean-Paul II;1;true;true;96
0056-A-1595-4201;;56;56;1506;Berthault;8;true;true;343
0056-B-4201-1595;;56;56;1542;Pont de Bretagne;17;true;true;56
0032-B-1441-9218;;32;32;1326;Villebois-Mareuil;7;true;true;450
0067-B-1556-4151-2106;;67;67;4163;Turbanière;20;true;true;44
0482-A-4359-2942;;482;Ts82;2754;Abords Launay;6;true;true;65
0056-A-1595-4201;;56;56;4201;Croix Blanche;19;true;true;4
0057-A-1501-2337;;57;57;1501;République;1;true;true;424
0032-B-1441-9218;;32;32;1524;Hôpital Régnier;12;true;true;419
0068-A-4507-1529;;68;68;1667;Robiquette;8;true;true;345
0482-B-2942-4360;;482;Ts82;2747;Lotissement du Moulin;3;true;true;9
0056-B-4201-1595;;56;56;4202;Calvaire;2;true;true;115
0057-A-1501-2337;;57;57;2241;St-Jacques Mairie;11;true;true;70
0034-A-1631-3028;;34;34;2075;Mare Pavée;7;true;true;379
0068-A-4507-1529;;68;68;1543;Léonard;10;true;true;359
0491-A-1569-3764;;491;Ts91;1499;Colin;3;true;true;146
0056-B-4201-1595;;56;56;4206;Mare Doux;6;true;true;139
0057-A-1501-2337;;57;57;2242;Centre Météo;15;true;true;145
0034-A-1631-3028;;34;34;2054;Métairies Chalotais;10;true;true;164
0068-A-4507-1529;;68;68;1493;Préfecture;11;true;true;491
0491-B-3755-1569;;491;Ts91;1422;Merlin;9;true;true;136
0056-B-4201-1595;;56;56;1508;Berthault;12;true;true;59
0057-A-1501-2337;;57;57;2244;Parc Expo;16;true;true;142
0034-A-1631-3028;;34;34;2056;Cesson Mairie;12;true;true;432
0068-A-4507-1529;;68;68;1529;Villejean-Université;12;true;true;356
0801-A-1412-1065-1467;;801;Relais a;1412;Cours Kennedy;1;true;true;448
0056-B-4201-1595;;56;56;1239;Chèques Postaux;16;true;true;288
0057-A-1501-2337;;57;57;2361;Bruz Centre;31;true;true;300
0034-A-1631-3028;;34;34;2014;Sports et Nature;14;true;true;172
0070-A-3951-1606;;70;70;3951;Cropy;1;true;true;481
0801-A-1412-1065-1467;;801;Relais a;1121;Charles de Gaulle;6;true;true;15
0056-B-4201-1595;;56;56;1595;Charles de Gaulle;20;true;true;102
0057-A-1501-2337;;57;57;2336;Champ Niguel;34;true;true;477
0034-A-1631-3028;;34;34;3033;Breillou;22;true;true;259
0070-A-3951-1606;;70;70;2423;Cour Neuve;9;true;true;3
0801-A-1412-1065-1467;;801;Relais a;1122;Gare Sud Féval;7;true;true;333
0057-A-1501-2337;;57;57;1265;Foyer Rennais;6;true;true;483
0057-A-1501-2361;;57;57;1019;Cité Judiciaire;4;true;true;199
0034-A-1631-3028;;34;34;3001;Gériatrie;27;true;true;417
0070-A-3951-1606;;70;70;2424;Champ Giron;10;true;true;13
0803-A-1501-1547;;803;API;1017;La Criée;2;true;true;477
0057-A-1501-2337;;57;57;2233;Abbé Grimault;13;true;true;408
0057-A-1501-2361;;57;57;1264;Pont de Nantes;5;true;true;227
0034-B-3028-1631;;34;34;3027;Touche Annette;2;true;true;294
0070-A-3951-1606;;70;70;1484;ZA Saint-Sulpice;13;true;true;393
0803-A-1501-1547;;803;API;1611;Redon;5;true;true;349
0057-A-1501-2337;;57;57;2315;Lande du Pont;17;true;true;410
0057-A-1501-2361;;57;57;1020;Mermoz;7;true;true;136
0034-B-3028-1631;;34;34;3032;Gériatrie;3;true;true;214
0070-A-3951-1606;;70;70;1734;Joliot-Curie;15;true;true;241
0803-A-1501-1547;;803;API;1398;Voltaire;8;true;true;360
0057-A-1501-2337;;57;57;2309;Schuman;20;true;true;30
0057-A-1501-2361;;57;57;2244;Parc Expo;16;true;true;290
0034-B-3028-1631;;34;34;2063;Monniais;13;true;true;155
0803-A-1501-1547;;803;API;1397;Dargent;9;true;true;12
0057-A-1501-2337;;57;57;2377;Corbières;22;true;true;194
0057-A-1501-2361;;57;57;2309;Schuman;20;true;true;326
0034-B-3028-1631;;34;34;2065;Cesson Gare;15;true;true;8
0803-B-1548-1615;;803;API;1615;République;14;true;true;117
0057-A-1501-2337;;57;57;2323;Rabine;25;true;true;62
0057-A-1501-2361;;57;57;2377;Corbières;22;true;true;79
0034-B-3028-1631;;34;34;2066;Cesson Mairie;18;true;true;171
0804-A-1001-2704;;804;TTZ;1004;Donzelot;4;true;true;145
0057-A-1501-2337;;57;57;2374;Châteliers;27;true;true;208
0057-A-1501-2361-2314;;57;57;1264;Pont de Nantes;5;true;true;400
0034-B-3028-1631;;34;34;2068;Métairies Chalotais;20;true;true;380
0804-A-1001-2704;;804;TTZ;1514;Moulin de Joué;10;true;true;444
0057-A-1501-2361;;57;57;1265;Foyer Rennais;6;true;true;443
0057-A-1501-2361-2314;;57;57;2211;Gaité;10;true;true;129
0034-B-3028-1631;;34;34;2043;Cormier;25;true;true;137
0804-A-1001-2704;;804;TTZ;1164;Pont de Châteaudun;13;true;true;380
0057-A-1501-2361;;57;57;2374;Châteliers;27;true;true;208
0057-A-1501-2361-2314;;57;57;2242;Centre Météo;15;true;true;492
0035-B-2065-2127;;35;35;2015;Hublais;2;true;true;41
0804-A-1001-2704;;804;TTZ;1061;Bourgeois;16;true;true;466
0057-A-1501-2361;;57;57;2332;Epalet;29;true;true;198
0057-A-1501-2361-2314;;57;57;2316;Etangs;19;true;true;326
0035-B-2065-2127;;35;35;1313;Beaulieu Restau U;7;true;true;133
0804-A-1001-2704;;804;TTZ;1064;Lycée Descartes;19;true;true;249
0057-A-1501-2361-2314;;57;57;1018;Plélo Colombier;3;true;true;419
0057-A-1501-2361-2314;;57;57;2320;Croix Madame;22;true;true;280
0036-A-2859-1606;;36;36;2839;Alphasis;3;true;true;139
0804-A-1001-2704;;804;TTZ;1659;Henri Fréville;25;true;true;80
0057-A-1501-2361-2314;;57;57;1265;Foyer Rennais;6;true;true;204
0057-A-1501-2361-2314;;57;57;2323;Rabine;26;true;true;492
0036-B-1606-2859;;36;36;2848;Forge;9;true;true;160
0804-A-1192-2704;;804;TTZ;1296;Université;3;true;true;182
0057-A-1501-2361-2314;;57;57;2207;Lilas;9;true;true;196
0057-A-1501-2361-2314;;57;57;2331;Noë;29;true;true;133
0036-B-1606-2859;;36;36;2838;Alphasis;12;true;true;497
0804-A-1192-2704;;804;TTZ;1412;Cours Kennedy;4;true;true;77
0057-A-1501-2361-2314;;57;57;2245;Haut Bois;12;true;true;69
0057-A-1501-2361-2314;;57;57;2361;Bruz Centre;32;true;true;14
0037-A-1647-2201;;37;37;1647;Henri Fréville;1;true;true;322
0804-A-1192-2704;;804;TTZ;1521;Berry;6;true;true;177
0057-A-1501-2361-2314;;57;57;2314;Porte de Ker-Lann;17;true;true;397
0057-B-2338-1615;;57;57;2375;Châteliers;9;true;true;74
0037-B-2201-1647;;37;37;1647;Henri Fréville;2;true;true;283
0804-A-1192-2704;;804;TTZ;1222;Roazhon Park;8;true;true;429
0057-A-1501-2361-2314;;57;57;2315;Lande du Pont;18;true;true;308
0057-B-2338-1615;;57;57;2307;Gavrinis;13;true;true;38
0037-B-2201-1647-2225;;37;37;2252;Maffeys;7;true;true;177
0804-A-1192-2704;;804;TTZ;1393;Récipon;11;true;true;165
0057-A-1501-2361-2314;;57;57;2321;Gavrinis;24;true;true;284
0057-B-2338-1615;;57;57;2238;Centre Météo;21;true;true;43
0037-B-2201-1647-2225;;37;37;2271;25 Fusillés;9;true;true;323
0804-A-1192-2704;;804;TTZ;1382;Voltaire;16;true;true;330
0057-A-1501-2361-2314;;57;57;2348;Victor Hugo;31;true;true;440
0057-B-2338-1615;;57;57;2223;Abbé Grimault;23;true;true;298
0038-A-2063-2107-2130;;38;38;2063;Monniais;1;true;true;243
0804-A-1252-2704;;804;TTZ;1159;Hôtel de Région;9;true;true;464
0057-A-2377-2361;;57;57;2323;Rabine;4;true;true;165
0057-B-2338-1615;;57;57;2239;Haut Bois;24;true;true;271
0038-A-2063-2107-2130;;38;38;2107;Ménouriais;3;true;true;499
0804-A-1252-2704;;804;TTZ;1376;Europe;12;true;true;123
0057-B-2338-1615;;57;57;2338;Lavoisier;1;true;true;61
0057-B-2338-1615;;57;57;2240;St-Jacques Mairie;25;true;true;213
0040-A-9217-1167;;40;40;1603;Les Préales;6;true;true;142
0804-A-1252-2704;;804;TTZ;1015;Champ Jacquet;20;true;true;79
0057-B-2338-1615;;57;57;2340;Bobinais;3;true;true;340
0057-B-2338-1615;;57;57;2210;Lilas;27;true;true;128
0040-A-9217-1167;;40;40;1165;Paul Bert;12;true;true;13
0804-A-1252-2704;;804;TTZ;1121;Charles de Gaulle;22;true;true;20
0057-B-2338-1615;;57;57;2344;Noë;8;true;true;109
0057-B-2338-1615;;57;57;2209;Commeurec;28;true;true;322
0040-B-1168-9218;;40;40;1610;Tournebride;10;true;true;483
0804-A-1252-2704;;804;TTZ;1122;Gare Sud Féval;23;true;true;251
0057-B-2338-1615;;57;57;2303;Haut Launay;10;true;true;437
0057-B-2338-1615;;57;57;1021;Cité Judiciaire;32;true;true;245
0041-A-2126-1056;;41;41ex;1176;Beaulieu INSA;7;true;true;63
0804-A-1252-2704;;804;TTZ;1125;Sacrés Coeurs;26;true;true;312
0057-B-2338-1615;;57;57;2322;Vert Buisson;12;true;true;112
0057-B-2338-1615;;57;57;1022;Plélo Colombier;33;true;true;353
0041-B-1663-2127;;41;41ex;1171;Pont de Châteaudun;2;true;true;354
0804-A-1252-2704;;804;TTZ;1126;Garigliano;27;true;true;61
0057-B-2338-1615;;57;57;2313;Lande du Pont;19;true;true;303
0057-B-2361-1615;;57;57;2223;Abbé Grimault;19;true;true;319
0041-B-1663-2127;;41;41ex;1174;Plaine de Baud;3;true;true;316
0804-A-1534-2704;;804;TTZ;1534;Henri Fréville;1;true;true;52
0057-B-2338-1615;;57;57;1277;Pont de Nantes;31;true;true;149
0057-B-2361-1615;;57;57;2209;Commeurec;24;true;true;314
0041-B-1663-2127;;41;41ex;1175;Beaulieu Chimie;5;true;true;108
0804-B-2701-1534;;804;TTZ;1534;Henri Fréville;2;true;true;431
